epoch,step,train_loss_step,train_acc_step,train_auc,train_f1,train_specificity,train_kappa,train_precision,train_acc_epoch,train_sensitivity,train_acc,train_loss_epoch,test_specificity,test_kappa,test_acc,test_precision,test_loss,test_f1,test_auc,test_sensitivity
0,9,0.7039278745651245,0.5,,,,,,,,,,,,,,,,,
0,19,0.6852774620056152,0.59375,,,,,,,,,,,,,,,,,
0,29,0.696038544178009,0.515625,,,,,,,,,,,,,,,,,
0,39,0.6928203105926514,0.5625,,,,,,,,,,,,,,,,,
0,49,0.7140015363693237,0.40625,,,,,,,,,,,,,,,,,
0,59,0.6946572661399841,0.53125,,,,,,,,,,,,,,,,,
0,67,,,0.5220757492573687,0.5176088971269694,0.5162337662313718,0.03432282003710574,0.5171296296296296,0.5171614289283752,0.5180890538033395,0.5171614289283752,0.6942237019538879,,,,,,,,
1,69,0.6956381797790527,0.515625,,,,,,,,,,,,,,,,,
1,79,0.6780765056610107,0.53125,,,,,,,,,,,,,,,,,
1,89,0.676423192024231,0.53125,,,,,,,,,,,,,,,,,
1,99,0.6848595142364502,0.53125,,,,,,,,,,,,,,,,,
1,109,0.6760798692703247,0.546875,,,,,,,,,,,,,,,,,
1,119,0.6733956336975098,0.5625,,,,,,,,,,,,,,,,,
1,129,0.6973129510879517,0.578125,,,,,,,,,,,,,,,,,
1,135,,,0.5746970528808588,0.5356798457087754,0.5913729127987414,0.10667903525046385,0.5577309236947792,0.5533395409584045,0.5153061224489796,0.5533395409584045,0.6847396492958069,,,,,,,,
2,139,0.66621333360672,0.671875,,,,,,,,,,,,,,,,,
2,149,0.64890056848526,0.671875,,,,,,,,,,,,,,,,,
2,159,0.6689349412918091,0.59375,,,,,,,,,,,,,,,,,
2,169,0.6324360966682434,0.734375,,,,,,,,,,,,,,,,,
2,179,0.6513423323631287,0.640625,,,,,,,,,,,,,,,,,
2,189,0.638655960559845,0.640625,,,,,,,,,,,,,,,,,
2,199,0.6160839200019836,0.65625,,,,,,,,,,,,,,,,,
2,203,,,0.6659496000289136,0.6012180267965895,0.6683673469356755,0.24072356215213353,0.6331452026680349,0.6203618049621582,0.5723562152133581,0.6203618049621582,0.6552326083183289,,,,,,,,
3,209,0.7087278366088867,0.53125,,,,,,,,,,,,,,,,,
3,219,0.6609930396080017,0.5625,,,,,,,,,,,,,,,,,
3,229,0.6140828132629395,0.671875,,,,,,,,,,,,,,,,,
3,239,0.5551458597183228,0.78125,,,,,,,,,,,,,,,,,
3,249,0.6386509537696838,0.609375,,,,,,,,,,,,,,,,,
3,259,0.6012328267097473,0.703125,,,,,,,,,,,,,,,,,
3,269,0.5905918478965759,0.703125,,,,,,,,,,,,,,,,,
3,271,,,0.720761580057896,0.6418466120625466,0.7309833024084834,0.33070500927643787,0.6903363587827015,0.6653525233268738,0.599721706864564,0.6653525233268738,0.6139554381370544,,,,,,,,
4,279,0.6482079029083252,0.65625,,,,,,,,,,,,,,,,,
4,289,0.5923460721969604,0.65625,,,,,,,,,,,,,,,,,
4,299,0.6147956848144531,0.640625,,,,,,,,,,,,,,,,,
4,309,0.5636297464370728,0.75,,,,,,,,,,,,,,,,,
4,319,0.6171747446060181,0.640625,,,,,,,,,,,,,,,,,
4,329,0.6392215490341187,0.65625,,,,,,,,,,,,,,,,,
4,339,0.4615512192249298,0.7916666865348816,,,,,,,,,,,,,,,,,
4,339,,,0.7507168156518804,0.6615077383924114,0.7564935064899978,0.3710575139146568,0.7162162162162162,0.6855287551879883,0.6145640074211502,0.6855287551879883,0.5891900658607483,,,,,,,,
5,349,0.669590175151825,0.59375,,,,,,,,,,,,,,,,,
5,359,0.5834447741508484,0.71875,,,,,,,,,,,,,,,,,
5,369,0.602813720703125,0.734375,,,,,,,,,,,,,,,,,
5,379,0.6113964915275574,0.6875,,,,,,,,,,,,,,,,,
5,389,0.5031375288963318,0.78125,,,,,,,,,,,,,,,,,
5,399,0.5875734686851501,0.71875,,,,,,,,,,,,,,,,,
5,407,,,0.7520265316448727,0.6744301288404361,0.7592764378443447,0.39053803339517623,0.7239361702127659,0.695268988609314,0.6312615955473099,0.695268988609314,0.5863783359527588,,,,,,,,
6,409,0.47787609696388245,0.828125,,,,,,,,,,,,,,,,,
6,419,0.6250013709068298,0.65625,,,,,,,,,,,,,,,,,
6,429,0.4752786457538605,0.75,,,,,,,,,,,,,,,,,
6,439,0.5927956104278564,0.734375,,,,,,,,,,,,,,,,,
6,449,0.587199866771698,0.703125,,,,,,,,,,,,,,,,,
6,459,0.5132112503051758,0.796875,,,,,,,,,,,,,,,,,
6,469,0.5298418402671814,0.71875,,,,,,,,,,,,,,,,,
6,475,,,0.7650673273188514,0.6813567714780886,0.7648423005530388,0.40306122448979587,0.7307488050982475,0.7015306353569031,0.6382189239332097,0.7015306353569031,0.5753776431083679,,,,,,,,
7,479,0.5677269697189331,0.6875,,,,,,,,,,,,,,,,,
7,489,0.5135052800178528,0.734375,,,,,,,,,,,,,,,,,
7,499,0.5822935700416565,0.671875,,,,,,,,,,,,,,,,,
7,509,0.5733922719955444,0.71875,,,,,,,,,,,,,,,,,
7,519,0.6513733863830566,0.65625,,,,,,,,,,,,,,,,,
